threshold,accuracy,weighted_f1,large_usage,avg_cost,cost_reduction
0.76,0.8219508275751245,0.8224404161413146,0.12132412019926081,3.9117788847822594,0.8435288446087096
0.765,0.8205045797846697,0.8209875000971069,0.11602121163426,3.7845090792222402,0.8486196368311104
0.77,0.8197011087899727,0.820201796624159,0.11055760887031978,3.6533826128876745,0.8538646954844931
0.775,0.8187369435963362,0.8192576266963274,0.10332636991804596,3.479832878033103,0.8608066848786758
0.78,0.8171300016069419,0.8177080238219927,0.09689860196046923,3.325566447051262,0.8669773421179495
0.785,0.8158444480154267,0.8164593141342018,0.09159569339546843,3.1982966414912424,0.8720681343403502
0.79,0.8148802828217901,0.8155298323542332,0.0861320906315282,3.0671701751566767,0.8773131929937329
0.795,0.8148802828217901,0.8155601697720088,0.0800257110718303,2.920617065723927,0.8831753173710429
0.8,0.8124698698376989,0.8131868630114492,0.07375863731319299,2.7702072955166317,0.8891917081793348
0.805,0.8100594568536076,0.8108090675377988,0.0676522577534951,2.6236541860838822,0.8950538325566447
0.81,0.8089345974610317,0.8097200739326463,0.06283143178531254,2.507954362847501,0.8996818254861
0.8150000000000001,0.8070062670737587,0.8078478783460045,0.05704644062349349,2.369114574963844,0.9052354170014463
0.8200000000000001,0.8062027960790615,0.807062516049247,0.05110075526273501,2.2264181263056404,0.9109432749477744
0.8250000000000001,0.8050779366864856,0.8059494827843287,0.04194118592318817,2.006588462156516,0.9197364615137393
0.8300000000000001,0.8044351598907279,0.8052698743409192,0.034388558573035514,1.8253254057528525,0.9269869837698859
0.835,0.8031496062992126,0.8039931355672797,0.027639402217579944,1.6633456532219186,0.9334661738711233
0.84,0.8012212759119396,0.8021199930620468,0.022015105254700306,1.5283625261128073,0.9388654989554877
0.845,0.8002571107183031,0.801170368032995,0.017033585087578337,1.40880604210188,0.9436477583159248
0.85,0.7999357223204242,0.8008438534440894,0.013498312710911136,1.3239595050618673,0.9470416197975253
0.855,0.7988108629278483,0.7997825594082363,0.009641651936365098,1.2313996464727623,0.9507440141410896
